EmployeeID;Name;SSN;Salary;Department Name;Staff;Budget
10026;Wilson K Adinolfi;7891440;62506;Production;TRUE;12530291
10084;Karthikeyan Ait Sidi;6406078;104437;IT/IS;TRUE;0
10194;Colby Andreola;3522396;95660;Software Engineering;TRUE;250000
10081;Bonalyn Boutwell;7031069;106367;Admin Offices;TRUE;0
10188;Jessica Bunbury;4684013;74326;Sales;TRUE;2140899
10089;Janet King;1527462;250000;Executive Office;TRUE;0
10196;Sarah Akinkuolie;2496638;64955;Production;FALSE;0
10088;Trina Alagbe;1769179;64991;Production;FALSE;0
10069;Carol Anderson;8091281;50825;Production;True;0
10002;Linda Anderson;7681876;57568;Production;FALSE;0
10062;Sam Athwal;4372448;59365;Production;FALSE;0
10114;Linda Bachiochi;7428781;47837;Production;FALSE;0
10250;Alejandro Bacong;5250499;50178;IT/IS;FALSE;0
10252;Rachael Baczenski;9541776;54670;Production;FALSE;0
10242;Thomas Barbara;3971321;47211;Production;True;0
10012;Hector Barbossa;2277818;92328;IT/IS;FALSE;0
10265;Francesco A Barone;5817088;58709;Production;FALSE;0
10066;Nader Barton;5736681;52505;Production;FALSE;0
10061;Norman Bates;3895306;57834;Production;FALSE;0
10023;Kimberly Beak;2222235;70131;Production;FALSE;0
10055;Courtney Beatrice;6294082;59026;Production;FALSE;0
10245;Renee Becker;9936818;110000;IT/IS;FALSE;0
10277;Scott Becker;3659298;53250;Production;FALSE;0
10046;Sean Bernstein;1387242;51044;Production;FALSE;0
10226;Lowan M Biden;3096764;64919;Production;FALSE;0
10003;Helen Billis;7285088;62910;Production;FALSE;0
10294;Dianna Blount;8748424;66441;Production;FALSE;0
10267;Betsy Bondwell;2277452;57815;Production;FALSE;0
10199;Frank Booth;5747276;103613;IT/IS;FALSE;0
10175;Charles Bozzi;5231326;74312;Production;FALSE;0
10177;Donna Brill;6709804;53492;Production;FALSE;0
10238;Mia Brown;8956357;63000;Admin Offices;FALSE;0
10184;Joseph Buccheri;8789835;65288;Production;FALSE;0
10203;Josephine Bugali;3640243;64375;Production;FALSE;0
10107;Joelle Burke;1961210;63763;Production;FALSE;0
10181;Benjamin Burkett;4460034;62162;Production;FALSE;0
10150;Max Cady;3568446;77692;Software Engineering;FALSE;0
10001;Calvin Candie;9461112;72640;Production;FALSE;0
10085;Judith Carabbio;1272983;93396;Software Engineering;FALSE;0
10115;Michael Carey;6539422;52846;Production;FALSE;0
10082;Claudia N Carr;5450968;100031;IT/IS;FALSE;0
10040;Michelle Carter;3869102;71860;Sales;FALSE;0
10067;Beatrice Chace;1498713;61656;Production;FALSE;0
10108;Brian Champaigne;1119649;110929;IT/IS;FALSE;0
10210;Lin Chan;8732113;54237;Production;FALSE;0
10154;Donovan E Chang;7108380;60380;Production;FALSE;0
